search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Oscar Luna,"Luna, Oscar", ,Singer,(6 June 1950 - ),Place of birth: Deán  Funes (Córdoba) Argentina,https://www.todotango.com/english/artists/biography/1488/Oscar-Luna/
Oscar Macri,"Macri, Oscar", ,Singer,(12 October 1935 - ),Place of birth: Buenos Aires Argentina, 
Oscar Peralta,, ,Singer,(n/d - ),Place of birth: , 
Oscar Serpa,"Serpa, Oscar", ,Singer and guitarist,(7 June 1919 - 8 November 1982),Place of birth: Luján de Cuyo (Mendoza) Argentina,https://www.todotango.com/english/artists/biography/838/Oscar-Serpa/
Oscar Ugarte,"Ugarteche, Oscar Juan", ,Singer,(3 April 1912 - 20 October 1990),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1222/Oscar-Ugarte/
Oscar Valeta,, ,Singer,(n/d - ),Place of birth: , 
Osvaldo Arana,"Rotondaro, Francisco Osvaldo", ,Singer,(20 August 1932 - 28 July 1994),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1468/Osvaldo-Arana/
Osvaldo Bazan,"Torino, Osvaldo Alfredo", ,Singer,(3 March 1923 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1397/Osvaldo-Bazan/
Osvaldo Cordo,"Alberti, Alfredo Agustín",Nicknames: Mocito,Singer and guitarist,(7 May 1923 - 26 May 1985),Place of birth: Dock Sud (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1264/Osvaldo-Cordo/
Osvaldo Moreno,"Buzón, Osvaldo Fortunato", ,Singer,(4 June 1912 - 28 August 1988),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/931/Osvaldo-Moreno/
Osvaldo Ramos,"Santieusanio, Ubaldo Pedro",Nicknames: Osvaldo Ramos / Osvaldo De Sanctis,"Singer, composer and lyricist",(13 May 1933 - 17 August 2015),Place of birth: Villa Adelina (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1000/Osvaldo-Ramos/
Osvaldo Ribo,"Osuna, Andrés Bartolomé", ,Siger,(30 November 1927 - 19 April 2015),Place of birth: Victoria (Entre Ríos) Argentina,https://www.todotango.com/english/artists/biography/663/Osvaldo-Ribo/
Pablo Lozano,"Lozano, Pablo", ,Singer,(12 December 1925 - 29 December 1992),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1470/Pablo-Lozano/
Pablo Moreno,"Papasso, Leonardo Blas", ,Singer,(21 October 1923 - 4 September 1980),Place of birth: Cosenza Italy,https://www.todotango.com/english/artists/biography/850/Pablo-Moreno/
Patricia Lasala,"Lasala, Patricia Mónica", ,Singer,(5 December - ),Place of birth: ,https://www.todotango.com/english/artists/biography/685/Patricia-Lasala/
Pedro Datila,"D’Aquila, Pedro Juan", ,Singer,(2 August 1923 - n/d),Place of birth: ,https://www.todotango.com/english/artists/biography/1679/Pedro-Datila/
Pedro Lauga,"Lauga, Pedro José", ,Singer and lyricist,(27 May 1906 - 28 January 1979),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1002/Pedro-Lauga/
Principe Azul,"de Costa, Herberto Emiliano", ,Singer and lyricist,(11 September 1901 - 9 September 1935),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/795/Principe-Azul/
Quique Ojeda,"Ojeda, Abraham Santos José", ,Singer,(1 November 1940 - ),Place of birth: San Miguel de Tucumán (Tucumán) Argentina,https://www.todotango.com/english/artists/biography/666/Quique-Ojeda/
Rafael Cisca,"Cisca, Rafael Vicente",Nicknames: Alejandro Fernández,Singer,(24 November 1907 - 1978),Place of birth: Buenos Aires Argentina, 
Raquel Notar,"Notar, Raquel", ,"Singer, lyricist and composer",(n/d - n/d),Place of birth: Buenos Aires Argentina, 
Raul Aldao,, ,Singer,(n/d - ),Place of birth: , 
Raul Beron,"Berón, Raúl", ,Singer,(30 March 1920 - 28 June 1982),Place of birth: Zárate (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/13/Raul-Beron/
Raul Figueroa,"Figueroa, Raúl", ,Singer,(n/d - ),Place of birth: , 
Raul Garces,, ,Singer and violinist,(10 April 1915 - n/d),Place of birth: Córdoba Argentina, 
Raul Iriarte,"Fiorentino, Rafael", ,Singer,(15 October 1916 - 24 August 1982),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/57/Raul-Iriarte/
Raul Iriarte ,"Fiorentino, Rafael", ,Singer,(15 October 1916 - 24 August 1982),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/57/Raul-Iriarte/
Raul Lavie,"Peralta, Raúl Alberto",Nicknames: El Negro,Singer and actor,(22 August 1937 - ),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/925/Raul-Lavie/
Raul Ledesma,"Sánchez, Juan José", ,Singer and composer,(25 May 1926 - 24 August 1987),Place of birth: Junín (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1343/Raul-Ledesma/
Ricardo Argentino,"Palomo, Carlos", ,Singer,(25 September 1918 - n/d),Place of birth: San Pablo (São Paulo) Brazil, 
Ricardo Blanco,, ,Singer,(n/d - ),Place of birth: , 
Ricardo Medina,"Friera, Domingo Marcelino", ,Singer,(2 April 1929 - n/d),Place of birth: Santa Fe Argentina, 
Ricardo Ruiz,"Ruiz, Ricardo Víctor", ,Singer,(28 July 1914 - 20 April 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/772/Ricardo-Ruiz/
Roberto Alvar,"Álvarez, Roberto Oscar", ,Singer,(3 December 1932 - n/d),Place of birth: Buenos Aires Argentina, 
Roberto Arrieta,"Arrieta, Pedro Rosa", ,Singer and composer,(12 September 1915 - 17 September 1978),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/937/Roberto-Arrieta/
Roberto Bayot,"Baiot, Roberto Ángel", ,Singer,(12 November 1937 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1687/Roberto-Bayot/
Roberto Beltran,"Zuker, León",Nicknames: Leoncito,Singer,(17 June 1916 - 2 July 1971),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1111/Roberto-Beltran/
Roberto Chanel,"Mazzochi, Alfredo",Nicknames: El Turco,"Singer, composer and lyricist",(26 November 1914 - 24 July 1972),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/731/Roberto-Chanel/
Roberto Decarre,"Decarre, Roberto", ,"Singer, pianist and trumpetist",(1988 - ),Place of birth: Junín (Buenos Aires) Argentina, 
Roberto Diaz,"Carvalho, Roberto Pablo", ,Singer and composer,(5 April 1900 - 2 December 1961),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/927/Roberto-Diaz/
Roberto Flores,"Patti, Domingo",Nicknames: El Chato,Singer and composer,(29 July 1907 - 9 November 1981),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/950/Roberto-Flores/
Roberto Florio,"Florio, Roberto Ángel",Nicknames: Chocho,Singer,(9 November 1929 - 5 October 1993),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/780/Roberto-Florio/
Roberto Fugazot,"Fugazot, Santiago Roberto", ,"Singer, actor and composer",(20 June 1902 - 8 August 1971),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/177/Roberto-Fugazot/
Roberto Goyeneche,"Goyeneche, Roberto",Nicknames: El Polaco,Singer,(29 January 1926 - 27 August 1994),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/151/Roberto-Goyeneche/
Roberto Luque,, ,Singer,(n/d - ),Place of birth: , 
Roberto Maida,"Maida, Domenico", ,Singer and lyricist,(3 March 1908 - 30 March 1993),Place of birth: Francica (Vibo Valentia) Italy,https://www.todotango.com/english/artists/biography/135/Roberto-Maida/
Roberto Mancini,"Brandy Mancini, Roberto Mario", ,Singer,(15 September 1938 - 20 January 2018),Place of birth: Buenos Aires Argentina, 
Roberto Medina,"Medina, Pedro José", ,"Singer, composer and lyricist ",(14 October 1923 - 12 March 2000),Place of birth: Lanús (Buenos Aires) Argentina, 
Roberto Minondi,"Minondi, Roberto", ,Singer,(n/d - ),Place of birth: , 
Roberto Morel,"Spinelli, Oscar Norberto",Nicknames: Roberto Spinelli,Singer and composer,(25 May 1926 - 21 January 1991),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1602/Roberto-Morel/
Roberto Ray,"Raimondo, Roberto", ,Singer and lyricist,(21 December 1912 - 23 September 1960),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/646/Roberto-Ray/
Roberto Ray ,"Raimondo, Roberto", ,Singer and lyricist,(21 December 1912 - 23 September 1960),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/646/Roberto-Ray/
Roberto Rufino,"Rufino, Roberto","Nicknames: El pibe del Abasto, y El pibe Terremoto",Singer and composer,(6 January 1922 - 24 February 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/155/Roberto-Rufino/
Roberto Rufino ,"Rufino, Roberto","Nicknames: El pibe del Abasto, y El pibe Terremoto",Singer and composer,(6 January 1922 - 24 February 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/155/Roberto-Rufino/
Roberto Taibo,"Sánchez, Héctor Justo", ,Singer,(16 October 1919 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1476/Roberto-Taibo/
Roberto Videla,"De Tomaso, Antonio Genaro", ,Singer,(16 December 1924 - 1 January 2005),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1115/Roberto-Videla/
Roberto Yanes,"Iannacone, Roberto César", ,Singer,(25 April 1932 - 29 May 2019),Place of birth: Villa de María del Río Seco (Córdoba) Argentina, 
Rodolfo Gale,"Tobares Galletti, Juan Dionisio", ,Singer,(26 December 1928 - 25 October 1972),Place of birth: Mendoza Argentina,https://www.todotango.com/english/artists/biography/864/Rodolfo-Gale/
Rodolfo Lemos,"Otero, Rodolfo", ,Singer and lyricist,(31 October 1932 - 16 August 2019),Place of birth: Buenos Aires Argentina, 
Rodolfo Lesica,"Aiello, Rodolfo Oscar", ,Singer,(12 November 1928 - 19 July 1984),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/783/Rodolfo-Lesica/
Rodriguez Lesende,"Rodríguez Lesende, Antonio", ,Singer,(1905 - 2 October 1979),Place of birth: Vigo (Pontevedra) Spain,https://www.todotango.com/english/artists/biography/163/Antonio-Rodriguez-Lesende/
Roger Toussaint,, ,,(n/d - ),Place of birth: , 
Roman Prince,"Principato, Ramón", ,Singer,(3 May 1900 - 24 July 1968),Place of birth: Buenos Aires Argentina, 
Romeo Gavio,"Gavioli, Romeo",Nicknames: Romeo Gavio,"Singer, violinist, composer and bandleader",(5 February 1913 - 17 April 1957),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/970/Romeo-Gavioli/
Ruben Cane,"Cleriere, León Rubén", ,Singer,(25 May 1927 - 5 September 2012),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1239/Ruben-Cane/
Ruben Linares,"Taboada, Miguel Angel", ,Singer and violinist,(13 November 1945 - ),Place of birth: Lobos (Buenos Aires) Argentina, 
Ruben Sanchez,"Sánchez, Rubén",Nicknames: El Gallego / La Voz vibrante del tango,Singer,(6 October 1936 - ),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1725/Ruben-Sanchez/
Ruth Durante,"Durante, Ruth",Nicknames: La Polaca,Singer,(19 May 1935 - ),Place of birth: Balcarce (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1178/Ruth-Durante/
Sabina Olmos,"Gómez, Rosa Herminia", ,Singer and actress,(3 February 1913 - 14 January 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/720/Sabina-Olmos/
Samuel Aguayo,"Aguayo, Samuel", ,"Singer, guitarrist and composer",(26 June 1909 - 18 March 1993),Place of birth: Villeta del Guarnipitán (Departamento Central) Paraguay, 
Sandra Cabal,"Carabajal, Sandra Patricia", ,Singer,(1964 - ),Place of birth: Bahía Blanca (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1782/Sandra-Cabal/
Tango,"Bedrune, Ebe Nelly Olga","Nicknames: La Mujer Tango, La Dama Blanca","Pianist, leader and composer",(27 June 1924 - 8 January 1996),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1480/Ebe-Bedrune/
Tania,"Luciano Divis, Ana", ,Singer and actress,(13 October 1894 - 17 February 1999),Place of birth: Toledo (Toledo) Spain, 
Teofilo Ibanez,"Ibáñez, Teófilo", ,Singer and composer,(22 July 1907 - 10 March 1986),Place of birth: Pamplona (Navarra) Spain,https://www.todotango.com/english/artists/biography/906/Teofilo-Ibanez/
Tino Garcia,"García, Constantino", ,Singer,(25 June 1910 - 22 April 2007),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1097/Tino-Garcia/
Tita Merello,"Merello, Laura Ana", ,Singer and actress,(11 October 1904 - 24 December 2002),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/167/Tita-Merello/
Tito Lando,"Cacciatore, Néstor Gilberto", ,Singer,(8 May 1934 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1362/Tito-Lando/
Tito Reyes,"Sconza, Tito Cosme", ,Singer and lyricist,(28 February 1928 - 9 May 2007),Place of birth: Valentín Alsina (Buenos Aires) Argentina, 
Victor Ruiz,"Ruiz, Víctor", ,Singer,(n/d - ),Place of birth: , 
Walter Cabral,"Cabral, Walter Obdulio", ,Singer,(27 October 1917 - 1993),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1796/Walter-Cabral/
Ximena Gimenez,"Giménez, Ximena", ,Singer,(n/d - ),Place of birth: , 
Zulema Robles,"Maldonado, Norma Zulma", ,Singer,(4 March 1940 - ),Place of birth: Pergamino (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/668/Zulema-Robles/
