search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Adrian Guida,"Guida, Adrián Nicolás", ,Singer,(26 March 1965 - 12 December 1994),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1405/Adrian-Guida/
Agustin Irusta,"Irusta, Agustín Cipriano", ,"Singer, actor, composer and lyricist",(28 August 1903 - 25 April 1987),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/154/Agustin-Irusta/
Agustin Magaldi,"Magaldi, Agustín",Nicknames: La voz sentimental de Buenos Aires,Singer and composer,(1 December 1898 - 8 September 1938),Place of birth: Casilda (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/158/Agustin-Magaldi/
Agustin Volpe,, ,Singer,(n/d - n/d),Place of birth: , 
Alberto,"Crudeli, Oscar Aníbal","Nicknames: Carlos Millán, Alberto Randal, Cacho","Singer, violinist, bandoneon player and composer",(11 November 1930 - 27 June 1996),Place of birth: Ingeniero White (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1064/Roberto-Achaval/
Alberto Aguirre,"Aguirre Obredor, Félix Alberto",Nicknames: Cholo,"Singer, guitarist, lyricist and composer",(19 February 1930 - ),Place of birth: San Lorenzo (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1390/Alberto-Aguirre/
Alberto Amor,"D’Amore, Vinicio Guillermo", ,Singer and lyricist,(25 January 1917 - 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1453/Alberto-Amor/
Alberto Arenas,"Guida, Tomás", ,Singer,(25 September 1910 - 12 January 1988),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/905/Alberto-Arenas/
Alberto Castillo,"De Lucca, Alberto Salvador",Nicknames: Riobal,"Singer, actor, composer and lyricist",(7 December 1914 - 23 July 2002),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/143/Alberto-Castillo/
Alberto Cuello,"Cuello, Juan Alberto", ,Singer,(21 January 1938 - 1 September 1981),Place of birth: Carmen de Areco (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1525/Alberto-Cuello/
Alberto Del Campo,"Villarruel, Agustín Ramón", ,Singer,(9 July 1924 - n/d),Place of birth: Rosario (Santa Fe) Argentina, 
Alberto Echague,"Rodríguez Bonfanti, Juan de Dios Osvaldo", ,Singer and author,(8 March 1909 - 22 February 1987),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/147/Alberto-Echague/
Alberto Fuentes,, ,Singer,(n/d - ),Place of birth: , 
Alberto Gomez,"Aducci, Egidio Alberto","Nicknames: Nico, El cabezón, El pingo de Lomas","Singer, lyricist and composer",(19 June 1904 - 1 May 1973),Place of birth: Lomas de Zamora (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/150/Alberto-Gomez/
Alberto Guzman,"Russo, Alberto",Nicknames: Alberto Garra,Singer,(n/d - n/d),Place of birth: , 
Alberto Lago,"Lago, Rodolfo Alfredo", ,"Singer, lyricist and composer",(2 November 1919 - 8 September 1999),Place of birth: Chivilcoy (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1118/Alberto-Lago/
Alberto Lerena,"Lerena, Alberto", ,Singer,(n/d - n/d),Place of birth: , 
Alberto Marino,"Marinaro, Vicente",Nicknames: La voz de oro del tango / Lino Marcos,Singer and composer,(26 April 1923 - 21 June 1989),Place of birth: Verona (Verona) Italy,https://www.todotango.com/english/artists/biography/113/Alberto-Marino/
Alberto Moran,"Recagno, Remo Andrea Domenico", ,Singer,(15 March 1922 - 16 August 1997),Place of birth: Strevi (Piamonte) Italy,https://www.todotango.com/english/artists/biography/160/Alberto-Moran/
Alberto Morel,, ,Singer,(n/d - ),Place of birth: , 
Alberto Ortiz,"Arroyo, Lorenzo", ,Singer,(n/d - ),Place of birth: , 
Alberto Paz,"Paz, Alberto", ,Dancer,(n/d - 3 February 2014),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1830/Alberto-Paz/
Alberto Podesta,"Alé, Alejandro Washington", ,Singer and composer,(22 September 1924 - 9 December 2015),Place of birth: San Juan Argentina, 
Alberto Reynal,"Gagliostro, Enzo",Nicknames: Príncipe Rojo,Singer,(2 September 1908 - 27 February 1947),Place of birth: Buenos Aires Argentina, 
Alberto Rivera,"Rivera, Alberto", ,Singer,(10 May 1918 - n/d),Place of birth: Zamora (Zamora) Spain,https://www.todotango.com/english/artists/biography/1368/Alberto-Rivera/
Alberto Sanchez,, ,Singer,(n/d - n/d),Place of birth: Saliqueló (La Pampa) Argentina, 
Alberto Serna,"González de la Serna, Alberto", ,Singer and guitarist,(14 January 1900 - 17 October 1983),Place of birth: General Lavalle (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1553/Alberto-Serna/
Alberto Tagle,"Martínez, José Nicolás", ,Singer,(n/d - 4 October 1963),Place of birth: ,https://www.todotango.com/english/artists/biography/1511/Alberto-Tagle/
Aldo Calderon,"Calderón, Aldo Ives", ,Singer and guitarist,(16 May 1924 - 6 December 1983),Place of birth: Rosario (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/1010/Aldo-Calderon/
Aldo Campoamor,"Chiavegato, Aldo Vitorio", ,"Singer, lyricist and composer",(21 March 1914 - 27 October 1968),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/19/Aldo-Campoamor/
Alejandro Fernandez,"Cisca, Rafael Vicente",Nicknames: Alejandro Fernández,Singer,(24 November 1907 - 1978),Place of birth: Buenos Aires Argentina, 
Alfredo Belusi,"Beluschi, Alfredo", ,Singer,(10 January 1925 - 1 January 2001),Place of birth: Quirquinchos (Santa Fe) Argentina,https://www.todotango.com/english/artists/biography/870/Alfredo-Belusi/
Alfredo Dalton,"Dalton, Alfredo Ernesto",Nicknames: Ernesto Paredes (letrista),Singer and lyricist,(18 November 1929 - 5 May 1998),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/733/Alfredo-Dalton/
Alfredo Del Rio,"Pérez, Alfredo Jesús", ,Singer,(5 November 1932 - 21 September 1978),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/857/Alfredo-Del-Rio/
Alfredo Piro,"Piro, Alfredo Aníbal Rafael", ,Singer,(3 March 1973 - ),Place of birth: Mar del Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1033/Alfredo-Piro/
Alfredo Rojas,, ,Singer,(n/d - ),Place of birth: , 
Amadeo Mandarino,"Mannarino, Amadeo Guillermo", ,Singer,(22 May 1913 - 12 June 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/107/Amadeo-Mandarino/
Amanda Ledesma,"Rubianes Alzuri, Josefina", ,Singer,(31 December 1911 - 18 February 2000),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/714/Amanda-Ledesma/
Andres Falgas,"Falgás, Andrés Salvio Miguel",Nicknames: Miguel De Salvio,"Singer, composer and lyricist",(15 January 1916 - 15 May 1995),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/126/Andres-Falgas/
Andres Galarce,"Galarce, Andrés", ,Singer,(n/d - ),Place of birth: , 
