Date,Orquestra,Title,Singer,Style,Composer,Author
1932-07-19,Adolfo CARABELLI,Castañuelas (2),Alberto Gómez,PASODOBLE,Alfredo Marengo y José Adolfo Zatzkin,Alfredo Marengo y José Adolfo Zatzkin
1932-07-19,Adolfo CARABELLI,Negra Consentida,Alberto Gómez,RUMBA, , 
1932-07-26,Adolfo CARABELLI,La tucumanita,Alberto Gómez,RANCHERA, , 
1932-07-26,Adolfo CARABELLI,Volvé,Mercedes Simone,TANGO,Edgardo Donato,Luis Bayón Herrera
1932-09-07,Adolfo CARABELLI,Hamacandose, ,FOXTROT, , 
1932-09-07,Adolfo CARABELLI,Sentado en un tanque, ,FOXTROT, , 
1932-09-09,Adolfo CARABELLI,Alma,Alberto Gómez,TANGO,Federico Scorticati,Juan Sarcione
1932-09-09,Adolfo CARABELLI,Loco,Alberto Gómez,TANGO,Niels Paulos,Luis Rubistein
1932-09-27,Adolfo CARABELLI,El trece,Alberto Gómez,TANGO,Albérico Spátola,Angel Gregorio Villoldo
1932-09-27,Adolfo CARABELLI,Ya vendra el día,Alberto Gómez,FOXTROT, , 
1932-10-28,Adolfo CARABELLI,El Caburé, ,TANGO,Arturo De Bassi,Roberto Lino Cayol
1932-10-28,Adolfo CARABELLI,La guiñada, ,TANGO,Agustín Bardi, 
1932-10-28,Adolfo CARABELLI,Ñatita,Alberto Gómez,VALS, , 
1932-12-30,Adolfo CARABELLI,No le quiero mirar,Mercedes Simone y Carlos Lafuente,VALS,Pablo Rodríguez,Pablo Rodríguez
1932-12-30,Adolfo CARABELLI,Por qué te obstinas en amar a otro si hoy es lunes, ,FOXTROT, , 
1933-01-01,Adolfo CARABELLI,Campanita del suburbio,Charlo,TANGO,Pedro Lloret,Jaime Lloret Reos
1933-01-01,Adolfo CARABELLI,Capullito de aleli,Carlos Lafuente,FOXTROT, , 
1933-01-01,Adolfo CARABELLI,Cuando canta mi guitarra,Carlos Lafuente,PASODOBLE, , 
1933-01-01,Adolfo CARABELLI,Deci que si,Alberto Gómez,VALS,Azucena Maizani y Orestes Cúfaro,Alberto Pidemunt
1933-01-01,Adolfo CARABELLI,Florida ventana de Granada, ,PASODOBLE, , 
1933-01-01,Adolfo CARABELLI,La gaucha Petrona (Petiza y panzona),Carlos Lafuente,VALS,Enrique Delfino,Mario Rada
1933-01-01,Adolfo CARABELLI,Madrileña castiza,Alberto Gómez,PASODOBLE,Adolfo Carabelli,Ginés Miralles
1933-01-01,Adolfo CARABELLI,Mar adentro (Navega mi velero),Carlos Lafuente,TANGO,Enrique Delfino,Mario Battistella
1933-01-01,Adolfo CARABELLI,Rinconcito para dos,Alberto Gómez,FOXTROT, , 
1933-01-01,Adolfo CARABELLI,Romance,Charlo,TANGO,Federico Scorticati,Juan Sarcione
1933-03-14,Adolfo CARABELLI,Contigo siempre,Alberto Gómez,VALS, , 
1933-03-15,Adolfo CARABELLI,Yo me quiero divorciar,Alberto Gómez,FOXTROT, , 
1933-04-11,Adolfo CARABELLI,Mia,Carlos Lafuente,TANGO,Elvino Vardaro y Antonio Oscar Arona,Celedonio Flores
1933-05-04,Adolfo CARABELLI,Tomala con soda,Carlos Lafuente,TANGO,Enrique Delfino,Manuel Romero
1933-07-25,Adolfo CARABELLI,Cuatro palabras (2),Charlo,TANGO,Luis Rubistein,Luis Rubistein
1933-07-25,Adolfo CARABELLI,Juntito al jaguel,Charlo,RANCHERA, , 
1933-09-12,Adolfo CARABELLI,Pa' que lagrimear,Carlos Lafuente,TANGO,Sebastián Piana,Carlos Goicoechea y Rogelio Cordone
1934-01-01,Adolfo CARABELLI,El mundo sigue al revés,Teófilo Ibáñez,TANGO,Rosa E. de Goñi,Rosa E. de Goñi
1934-04-25,Adolfo CARABELLI,Florida de 6 a 8,Fernando Díaz,FOXTROT, , 
1934-05-07,Adolfo CARABELLI,Mi evocación,Luis Díaz,TANGO,Remo Piangiarelli y Antonio Benedicto,Antonio Benedicto
1935-04-17,Adolfo CARABELLI,Alegria de panderetas,Alberto Gómez,PASODOBLE, , 
1928-06-08, ,Frou frou,Agustin MAGALDI,FOXTROT, , 
1928-10-20, ,Paso la mina,Agustin MAGALDI,TANGO, , 
1932-09-02,Dir. Adolfo Carabelli,Afilador,Agustin MAGALDI,RANCHERA,Francisco Pracánico,Emilio Magaldi
1932-09-29,Dir. Adolfo Carabelli,Virgen de Lourdes,Agustin MAGALDI,TANGO, , 
1932-09-29, ,Zulima,Agustin MAGALDI,PASODOBLE, , 
1933-10-03,Dir. Adolfo Carabelli,Jorobeta,Agustin MAGALDI,TANGO,Agustín Magaldi y Pedro Noda,Claudio Frollo
1934-01-10,Dir. Adolfo Carabelli,Puerto Nuevo,Agustin MAGALDI,TANGO,Teófilo Lespés,Carlos Pesce
1934-05-23, ,Se quema se quema y se quemo,Agustin MAGALDI,RANCHERA, , 
1936-11-26,Dir. Adolfo Carabelli,Levanta la frente,Agustin MAGALDI,TANGO,Agustín Magaldi,Antonio Nápoli
1937-06-03,Dir. Adolfo Carabelli,No quiero verte llorar,Agustin MAGALDI,TANGO,Agustín Magaldi,Rodolfo Sciammarella
1937-06-10, ,Los 60 granaderos,Agustin MAGALDI,CUECA, , 
1938-01-21, ,Disfrazado,Agustin MAGALDI,TANGO,Antonio Esteban Tello,Alejandro Da Silva
1938-01-26,Dir. Adolfo Carabelli,Paciencia,Agustin MAGALDI,TANGO,Juan D'Arienzo,Francisco Gorrindo
1938-01-26,Dir. Adolfo Carabelli,Siempre es carnaval,Agustin MAGALDI,TANGO,Osvaldo Fresedo,Emilio Fresedo
1938-04-21, ,Honor gaucho,Agustin MAGALDI,TANGO,Agustín Magaldi,Juan Fulginiti
1938-04-21, ,Mi pabellon,Agustin MAGALDI,CUECA, , 
1967-11-06,AHUMADA-BONANO,Milonguero triste, ,TANGO,Aníbal Troilo, 
1967-11-06,AHUMADA-BONANO,Pa' mama, ,TANGO,Julio Ahumada, 
1968-07-05,AHUMADA-BONANO,Donde quiera que estés,Carlos Solari,TANGO,Manuel Sucher,Carlos Bahr
1968-07-05,AHUMADA-BONANO,Nostalgias, ,TANGO,Juan Carlos Cobián,Enrique Cadícamo
1943-12-07,Dir. Emilio Balcarce,Luna de arrabal,Alberto CASTILLO,VALS,Julio César Sanders,Enrique Cadícamo
1943-12-07,Dir. Emilio Balcarce,Manoblanca (Mano blanca),Alberto CASTILLO,TANGO,Antonio De Bassi,Homero Manzi
1944-01-19,Dir. Emilio Balcarce,Anclao en Paris,Alberto CASTILLO,TANGO,Guillermo Barbieri,Enrique Cadícamo
1944-01-19,Dir. Emilio Balcarce,Pincelada,Alberto CASTILLO,TANGO,Emilio Balcarce,Isusi
1944-02-03,Dir. Emilio Balcarce,Con un tango asi,Alberto CASTILLO,TANGO, , 
1944-02-03,Dir. Emilio Balcarce,La que murió en París,Alberto CASTILLO,TANGO,Enrique Maciel,Héctor Pedro Blomberg
1944-03-01,Dir. Emilio Balcarce,Y sonó el despertador,Alberto CASTILLO,TANGO,Marvil,Marvil
1944-03-03,Dir. Enrique Alessio,Charol,Alberto CASTILLO,CANDOMBE, , 
1944-06-09,Dir. Emilio Balcarce,A suerte y verdad,Alberto CASTILLO,TANGO,Carlos Parodi,Carlos Waiss
1944-06-09,Dir. Emilio Balcarce,Amarras,Alberto CASTILLO,TANGO,Carlos Marchisio,Carmelo Santiago
1944-06-09,Dir. Emilio Balcarce,Nubes de humo,Alberto CASTILLO,TANGO,Manuel Jovés,Manuel Romero
1944-06-09,Dir. Emilio Balcarce,Pajarito,Alberto CASTILLO,TANGO,Dante A. Linyera,Dante A. Linyera
1944-06-16,Dir. Emilio Balcarce,Muchachita pobre,Alberto CASTILLO,TANGO, , 
1944-06-16,Dir. Emilio Balcarce,Una menos,Alberto CASTILLO,TANGO, , 
1944-06-16,Dir. Emilio Balcarce,Yo soy milonga,Alberto CASTILLO,MILONGA, , 
1944-07-25,Dir. Emilio Balcarce,El pescante,Alberto CASTILLO,TANGO,Sebastián Piana,Homero Manzi
1944-07-25,Dir. Emilio Balcarce,No comprendes,Alberto CASTILLO,VALS,Osvaldo Sosa Cordero,Osvaldo Sosa Cordero
1944-08-01,Dir. Emilio Balcarce,Lecherito del Abasto,Alberto CASTILLO,TANGO,Emilio Balcarce,Luis Caruso
1944-08-01,Dir. Emilio Balcarce,Y al final en el café,Alberto CASTILLO,TANGO, , 
1944-08-08,Dir. Emilio Balcarce,Esta es mi calle corrientes,Alberto CASTILLO,TANGO, , 
1944-08-08,Dir. Emilio Balcarce,Otra noche,Alberto CASTILLO,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella
1944-11-28,Dir. Emilio Balcarce,Juan Tango,Alberto CASTILLO,TANGO,Pedro Maffia y Sebastián Piana,Cátulo Castillo
1944-11-28,Dir. Emilio Balcarce,Recuerdo (2),Alberto CASTILLO,VALS,Alfredo Pelaia,Alfredo Pelaia
1944-12-20,Dir. Emilio Balcarce,Café (2),Alberto CASTILLO,MILONGA,Osvaldo Sosa Cordero,Osvaldo Sosa Cordero
1944-12-20,Dir. Emilio Balcarce,El paseandero,Alberto CASTILLO,TANGO, , 
1945-03-07,Dir. Emilio Balcarce,Copas amigas y besos,Alberto CASTILLO,TANGO,Mariano Mores,Enrique Cadícamo
1945-03-07,Dir. Emilio Balcarce,Soy como luz,Alberto CASTILLO,TANGO, , 
1945-04-24,Dir. Emilio Balcarce,La pulpera de Santa Lucía,Alberto CASTILLO,VALS,Enrique Maciel,Héctor Pedro Blomberg
1945-04-24,Dir. Emilio Balcarce,Menta y cedrón,Alberto CASTILLO,TANGO,Oscar Arona,Armando Tagini
1945-07-06,Dir. Emilio Balcarce,Buzón,Alberto CASTILLO,TANGO,Mario Raffaelli,Marvil
1945-07-06,Dir. Emilio Balcarce,El carrerito,Alberto CASTILLO,TANGO,Raúl de los Hoyos,Alberto Vacarezza
