Date,Orquestra,Title,Singer,Style,Composer,Author
1961-12-01,Francisco CANARO,Hizuiro no wartzu (Vals azul),Ernesto Herrera,VALS, , 
1961-12-01,Francisco CANARO,Milonga del tiempo heroico, ,MILONGA,Francisco Canaro, 
1961-12-01,Francisco CANARO,Munyinga,Ernesto Herrera y Isabel de Grana y Francisco Canaro,DANZA MORENA,Miguel Caló y Luis Brighenti,Máximo Orsi
1961-12-01,Francisco CANARO,Organito de la tarde, ,TANGO,Cátulo Castillo,José González Castillo
1961-12-01,Francisco CANARO,Paja brava, ,PERICON,Francisco Canaro,Ivo Pelay
1961-12-01,Francisco CANARO,Torta frita, ,TANGO, , 
1961-12-01,Francisco CANARO,Cadena de tango, ,TANGO, , 
1961-12-01,Francisco CANARO,Caminito,Ernesto Rondó y Isabel de Grana,TANGO,Juan de Dios Filiberto,Gabino Coria Peñaloza
1961-12-01,Francisco CANARO,Lo han visto con otra,Isabel de Grana,TANGO,Horacio Pettorossi,Horacio Pettorossi
1961-12-12,Francisco CANARO,Yira yira,Ernesto Herrera,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1961-12-13,Francisco CANARO,El esquinazo, ,MILONGA,Ángel Villoldo,Carlos Pesce y Antonio Polito
1961-12-21,Francisco CANARO,Canaro en Japon,Ernesto Herrera,TANGO, , 
1961-12-21,Francisco CANARO,De mi barrio,Isabel de Grana,TANGO,Roberto Goyheneche,Roberto Goyheneche
1961-12-26,Francisco CANARO,Canaro en Paris, ,TANGO,Juan Caldarella y Alejandro Scarpino,José Scarpino
1961-12-26,Francisco CANARO,Corazón de oro, ,VALS,Francisco Canaro,Jesús Fernández Blanco
1961-12-26,Quinteto PIRINCHO (Francisco Canaro),Felicia, ,TANGO,Enrique Saborido,Carlos Mauricio Pacheco
1961-12-26,Francisco CANARO,La cumparsita, ,TANGO,Gerardo Matos Rodriguez,Gerardo Matos Rodriguez
1961-12-26,Francisco CANARO,Quejas de bandoneón, ,TANGO,Juan de Dios Filiberto, 
1961-12-26,Quinteto PIRINCHO (Francisco Canaro),Sentimiento gaucho, ,TANGO,Francisco Canaro y Rafael Canaro,Juan Andrés Caruso
1961-12-26,Francisco CANARO,Sentimiento gaucho, ,TANGO,Francisco Canaro y Rafael Canaro,Juan Andrés Caruso
1962-05-11,Quinteto PIRINCHO (Francisco Canaro),Anoche te soñé, ,TANGO, , 
1962-05-11,Quinteto PIRINCHO (Francisco Canaro),Noche buena, ,TANGO,Enrique Esviza, 
1962-08-02,Quinteto PIRINCHO (Francisco Canaro),Mala sombra, ,TANGO, , 
1962-08-02,Quinteto PIRINCHO (Francisco Canaro),Negro carbón, ,MILONGA, , 
1962-10-22,Quinteto PIRINCHO (Francisco Canaro),El triunfo, ,TANGO,Francisco Canaro, 
1962-10-22,Quinteto PIRINCHO (Francisco Canaro),Qué macanudo, ,TANGO,Octavio Scaglione, 
1962-12-17,Quinteto PIRINCHO (Francisco Canaro),Criolla linda, ,TANGO,Vicente Gorrese y Bernardo Germino,Luis Rubistein
1962-12-17,Quinteto PIRINCHO (Francisco Canaro),El pollo Ricardo, ,TANGO,Luis Alberto Fernandez, 
1963-09-17,Francisco CANARO,Adios mi amor,Ernesto Herrera y Isabel de Grana,CANCION, , 
1963-09-17,Francisco CANARO,La negrita Maria,Ernesto Herrera y Isabel de Grana,CANCION, , 
1964-01-01,Francisco CANARO,Pájaro azul, ,TANGO FANTASIA,Francisco Canaro, 
1964-07-29,Quinteto PIRINCHO (Francisco Canaro),Conjuro negro, ,CANDOMBE, , 
1964-07-29,Quinteto PIRINCHO (Francisco Canaro),La payanca, ,TANGO,Augusto Berto,Jesús Fernández Blanco
1964-07-29,Quinteto PIRINCHO (Francisco Canaro),Qué macanudo, ,TANGO,Octavio Scaglione, 
1964-10-02,Francisco CANARO,Halcón negro, ,TANGO,Francisco Canaro, 
1969-10-27,Francisco CANARO,Golondrinas,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-10-27,Francisco CANARO,Sus ojos se cerraron,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-10-27,Francisco CANARO,Volver,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-11-06,Francisco CANARO,Danza gaucha,Francisco Amor y Isabel de Grana,MALAMBO, , 
1969-11-06,Francisco CANARO,Paja brava,Francisco Amor,PERICON,Francisco Canaro,Ivo Pelay
1969-11-13,Francisco CANARO,El día que me quieras,Argentino Ledesma,CANCION,Carlos Gardel,Alfredo Le Pera
1969-11-18,Francisco CANARO,Mi Buenos Aires querido,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-11-18,Francisco CANARO,Por una cabeza,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-11-26,Francisco CANARO,Cuesta abajo,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1969-11-26,Francisco CANARO,Tomo y obligo,Argentino Ledesma,TANGO,Carlos Gardel,Manuel Romero
1969-11-27,Francisco CANARO,Cuando tú no estás,Argentino Ledesma,CANCION,Carlos Gardel y Marcel Lattes,Alfredo Le Pera y Mario Battistella
1969-11-27,Francisco CANARO,Volvió una noche,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1973-11-07,Francisco CANARO,Arrabal amargo,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera
1973-11-07,Francisco CANARO,Melodía de arrabal,Argentino Ledesma,TANGO,Carlos Gardel,Alfredo Le Pera y Mario Battistella
1945-05-19,Dir. Astor Piazzolla,Corrientes y Esmeralda,Francisco FIORENTINO,TANGO,Francisco Pracánico,Celedonio Flores
1945-05-19,Dir. Astor Piazzolla,Si se salva el pibe,Francisco FIORENTINO,TANGO,Francisco Pracánico,Celedonio Flores
1945-06-07,Dir. Astor Piazzolla,Diez años pasan,Francisco FIORENTINO,TANGO,José Razzano y Cátulo Castillo,José Razzano y Cátulo Castillo
1945-06-07,Dir. Astor Piazzolla,Nos encontramos al pasar,Francisco FIORENTINO,TANGO,Raúl Kaplún,José María Suñé
1945-07-19,Dir. Astor Piazzolla,Cotorrita de la suerte,Francisco FIORENTINO,TANGO,Alfredo De Franco,José De Grandis
1945-07-19,Dir. Astor Piazzolla,Rosa de otoño,Francisco FIORENTINO,VALS,Guillermo Barbieri,José Rial (h)
1945-07-30,Dir. Astor Piazzolla,En las noches,Francisco FIORENTINO,TANGO, , 
1945-07-30,Dir. Astor Piazzolla,La chiflada,Francisco FIORENTINO,TANGO,Anselmo Aieta,Francisco García Jiménez
1945-09-25,Dir. Astor Piazzolla,Seis días,Francisco FIORENTINO,TANGO,Manuel Sucher,Carlos Bahr
1945-09-25,Dir. Astor Piazzolla,Soy una fiera,Francisco FIORENTINO,MILONGA,Francisco Martino,Francisco Martino
1945-10-16,Dir. Astor Piazzolla,Fruta Amarga,Francisco FIORENTINO,TANGO,Hugo Gutiérrez,Homero Manzi
1945-10-16,Dir. Astor Piazzolla,María,Francisco FIORENTINO,TANGO,Aníbal Troilo,Cátulo Castillo
1945-11-23,Dir. Astor Piazzolla,Color de rosa,Francisco FIORENTINO,TANGO,Pedro Polito y Antonio Polito, 
1945-11-23,Dir. Astor Piazzolla,Dolor de tango,Francisco FIORENTINO,TANGO, , 
1945-11-23,Dir. Astor Piazzolla,Oro falso,Francisco FIORENTINO,TANGO,Virgilio Expósito,Homero Expósito
1945-12-19,Dir. Astor Piazzolla,Amigazo,Francisco FIORENTINO,TANGO,Juan de Dios Filiberto,Francisco Brancatti y Juan Velich
1946-01-10,Dir. Astor Piazzolla,El trovero (Yo te imploro),Francisco FIORENTINO,VALS,Rafael Tuegols y Agustín Irusta,Rafael Tuegols y Agustín Irusta
1946-01-10,Dir. Astor Piazzolla,Viejo ciego,Francisco FIORENTINO,TANGO,Sebastián Piana y Cátulo Castillo,Homero Manzi
1946-01-30,Dir. Astor Piazzolla,Burbujas,Francisco FIORENTINO,TANGO,Carlos Figari,Cátulo Castillo
1946-01-30,Dir. Astor Piazzolla,Quien te ha traido,Francisco FIORENTINO,TANGO, , 
1946-03-20,Dir. Astor Piazzolla,De vuelta al bulin,Francisco FIORENTINO,TANGO,José Martinez,Pascual Contursi
1946-03-20,Dir. Astor Piazzolla,Volvió una noche,Francisco FIORENTINO,TANGO,Carlos Gardel,Alfredo Le Pera
1946-05-21,Dir. Astor Piazzolla,En carne propia,Francisco FIORENTINO,TANGO,Manuel Sucher,Carlos Bahr
1946-05-21,Dir. Astor Piazzolla,Otros tiempos otros hombres,Francisco FIORENTINO,TANGO, , 
1953-09-09,Francisco LAURO,El estribo, ,TANGO,Vicente Greco, 
1953-09-09,Francisco LAURO,Para ti Lidia,Argentino Oliver,VALS, , 
1954-05-29,Francisco LAURO,Huella buey,Argentino Oliver y Alberto Ortiz,TANGO,Alberto Laporte,Mario Trongé y Alfredo Lagazio
1954-05-29,Francisco LAURO,Luna de arrabal,Alberto Ortiz,VALS,Julio César Sanders,Enrique Cadícamo
1925-01-01,Francisco LOMUTO,Canta corazón (2), ,TANGO,Gerardo Matos Rodríguez, 
1925-01-01,Francisco LOMUTO,La cumparsita, ,TANGO,Gerardo Matos Rodriguez,Gerardo Matos Rodriguez
1926-01-01,Francisco LOMUTO,El brujo, ,TANGO,Juan Carlos Bazán,Eduardo Carrasquilla
1926-01-01,Francisco LOMUTO,El circo se va, ,TANGO, , 
1926-01-01,Francisco LOMUTO,Meterete (2), ,TANGO, , 
1926-01-01,Francisco LOMUTO,Oigo ruido, ,SHIMMY, , 
1926-01-01,Francisco LOMUTO,Pobre Mateo, ,TANGO, , 
1926-01-01,Francisco LOMUTO,Rulitos, ,TANGO, , 
1927-03-23,Francisco LOMUTO,Mucha clase, ,TANGO,Américo Bianchi, 
1927-03-23,Francisco LOMUTO,Por dónde andará, ,TANGO,Salvador Merico,Atilio Supparo
1927-03-23,Francisco LOMUTO,Rezongos, ,TANGO,José María Rizzuti, 
1927-04-08,Francisco LOMUTO,Amurado, ,TANGO,Pedro Maffia y Pedro Laurenz,José De Grandis
1927-04-08,Francisco LOMUTO,Campanita, ,TANGO,Juan Polito,Salvador Polito
1927-04-08,Francisco LOMUTO,Toca un tango, ,TANGO, , 
1927-04-22,Francisco LOMUTO,Estampido, ,FOXTROT, , 
1927-04-22,Francisco LOMUTO,Precioso, ,FOXTROT, , 
1927-04-22,Francisco LOMUTO,Viejos amigos, ,FOXTROT, , 
1927-04-30,Francisco LOMUTO,Corazón de porteña, ,TANGO, , 
1927-04-30,Francisco LOMUTO,Mariposa, ,TANGO, , 
1927-06-04,Francisco LOMUTO,De tardecita, ,TANGO,Nicolás Messutti,Carlos Álvarez Pintos
1927-06-04,Francisco LOMUTO,Hasta luego, ,TANGO,Edgardo Donato,Carlos Álvarez Pintos
1927-06-04,Francisco LOMUTO,La ultima ficha, ,TANGO, , 
1927-06-11,Francisco LOMUTO,Arrorro, ,TANGO, , 
1927-06-11,Francisco LOMUTO,Bacán fulero, ,TANGO,Ricardo Brignolo, 
1927-06-11,Francisco LOMUTO,Bichito, ,TANGO, , 
1927-06-11,Francisco LOMUTO,Compadrito, ,TANGO,Pedro Leandro Ipuche Riva,Carlos Álvarez Pinto y Sergio Sosa
1927-06-11,Francisco LOMUTO,La mascarita, ,TANGO, , 
1927-06-11,Francisco LOMUTO,Qué me importa, ,TANGO, , 
1927-06-14,Francisco LOMUTO,Asi te quiero, ,TANGO, , 
1927-06-14,Francisco LOMUTO,Canchero viejo, ,TANGO,Raúl Courau, 
1927-06-14,Francisco LOMUTO,Era un budin, ,TANGO, , 
1927-06-14,Francisco LOMUTO,Lechuza, ,TANGO,Alfredo Navarrine y Julio Navarrine,Alfredo Navarrine
1927-06-14,Francisco LOMUTO,Olvidame para siempre, ,TANGO, , 
1927-06-14,Francisco LOMUTO,Un buen consejo, ,TANGO, , 
1927-07-06,Francisco LOMUTO,Porque sos asi, ,TANGO, , 
1927-07-06,Francisco LOMUTO,Purrete de mi amor, ,TANGO,Raúl de los Hoyos,Luis Bayón Herrera
1927-07-06,Francisco LOMUTO,Ventanita de arrabal, ,TANGO,Antonio Scatasso,Pascual Contursi
1927-07-16,Francisco LOMUTO,Muñequita, ,TANGO,Francisco Lomuto,Adolfo Herschel
1927-07-16,Francisco LOMUTO,Zorro gris, ,TANGO,Rafael Tuegols,Francisco García Jiménez
1927-07-19,Francisco LOMUTO,Chiqué, ,TANGO,Ricardo Luis Brignolo,Ricardo Brignolo
1927-07-19,Francisco LOMUTO,Nunca mas, ,TANGO,Francisco Lomuto,Oscar Lomuto
1927-07-19,Francisco LOMUTO,Ojos negros, ,TANGO,Vicente Greco,Pedro Numa Cordoba
1927-07-25,Francisco LOMUTO,Entre sombras, ,TANGO, , 
1927-07-25,Francisco LOMUTO,Virgencita de arrabal, ,TANGO, , 
1927-08-08,Francisco LOMUTO,A la luz del candil, ,TANGO,Carlos Vicente Geroni Flores,Julio Navarrine
1927-08-08,Francisco LOMUTO,Cicatrices, ,TANGO,Adolfo Avilés,Enrique Maroni
1927-08-08,Francisco LOMUTO,Pobre muchacha, ,TANGO, , 
1927-08-08,Francisco LOMUTO,Volvé mi negra, ,TANGO,José María Rizzuti,José Diez Gómez
1927-08-10,Francisco LOMUTO,Almita, ,TANGO, , 
1927-08-10,Francisco LOMUTO,Cuándo volverás, ,TANGO,Pedro Maffia,José Horacio Staffolani
1927-08-10,Francisco LOMUTO,Don Juan Malevo, ,TANGO,Francisco Lomuto,Eduardo Becar
1927-08-10,Francisco LOMUTO,Fumando espero, ,TANGO,Juan Viladomat,Félix Garzo
1927-09-21,Francisco LOMUTO,Compadron, ,TANGO,Luis Visca,Enrique Cadícamo
1927-09-21,Francisco LOMUTO,Don Bernardo, ,TANGO, , 
1927-09-21,Francisco LOMUTO,Intimas, ,TANGO,Alfonso Lacueva,Ricardo Brignolo
1927-09-21,Francisco LOMUTO,Pura lata, ,TANGO, , 
1927-10-01,Francisco LOMUTO,Te engrupieron, ,TANGO, , 
1927-10-14,Francisco LOMUTO,Humos de ilusion, ,TANGO, , 
1927-10-20,Francisco LOMUTO,Pena maleva, ,TANGO, , 
1927-10-20,Francisco LOMUTO,Ya te he dicho, ,TANGO, , 
1927-10-28,Francisco LOMUTO,Cap polonio, ,TANGO, , 
1927-10-28,Francisco LOMUTO,Gil a rayas, ,TANGO,Juan Carlos Guyot y Rafael Herraiz, 
1927-11-17,Francisco LOMUTO,Aguaforte, ,TANGO, , 
1927-11-17,Francisco LOMUTO,La oveja descarriada, ,TANGO,Antonio Scatasso, 
1927-11-17,Francisco LOMUTO,Se fue, ,TANGO, , 
1927-11-25,Francisco LOMUTO,De rincón a rincón (De rincón en rincón), ,TANGO, , 
1927-11-25,Francisco LOMUTO,Sin dejar rastro, ,TANGO, , 
1927-12-02,Francisco LOMUTO,Caido del cielo, ,TANGO,Pedro Polito y Antonio Polito,Antonio Polito
1927-12-02,Francisco LOMUTO,Perfume de mujer, ,TANGO,Juan José Guichandut,Armando Tagini
1927-12-02,Francisco LOMUTO,Pirucha, ,TANGO, , 
1927-12-02,Francisco LOMUTO,Por mi madre, ,TANGO,José Di Clemente, 
1927-12-29,Francisco LOMUTO,Adiós muchachos, ,TANGO,Julio César Sanders,César Vedani
1927-12-29,Francisco LOMUTO,Lagrimitas, ,TANGO,Emilio Marchiano y José Raynelli, 
1927-12-29,Francisco LOMUTO,Qué lindo es estar metido, ,TANGO,Enrique Delfino,Pascual Contursi
1927-12-29,Francisco LOMUTO,Tradición, ,TANGO,Fausto Frontera,Enrique Cadícamo
1928-03-10,Francisco LOMUTO,A contramano,Charlo,TANGO,Luis Teisseire,Juan Andrés Caruso
1928-03-10,Francisco LOMUTO,Flor del campo,Charlo,TANGO,Francisco Lomuto,Oscar Lomuto
1928-03-23,Francisco LOMUTO,Aterrizaje,Charlo,TANGO, , 
1928-03-23,Francisco LOMUTO,Ya no cantas chingolo (Chingolito),Charlo,TANGO,Antonio Scatasso,Edmundo Bianchi
1928-03-23,Francisco LOMUTO,Zorro viejo, ,TANGO, , 
1928-03-24,Francisco LOMUTO,No te hagas mala sangre, ,TANGO, , 
1928-03-24,Francisco LOMUTO,Solo por ti,Charlo,TANGO, , 
1928-03-31,Francisco LOMUTO,Dónde estás corazón (2),Charlo,TANGO,María Isolina Godard,Francisco García Jiménez
1928-03-31,Francisco LOMUTO,Guapito, ,TANGO, , 
1928-03-31,Francisco LOMUTO,Linda francesita,Charlo,TANGO,José María Rizzuti,Eduardo Calvo
1928-03-31,Francisco LOMUTO,Mireya (2), ,TANGO, , 
1928-04-13,Francisco LOMUTO,No,Charlo,TANGO, , 
1928-04-13,Francisco LOMUTO,Señor comisario,Charlo,TANGO,Francisco Canaro,Juan Andrés Caruso
1928-04-14,Francisco LOMUTO,Lindo tipo de varon, ,TANGO, , 
1928-05-03,Francisco LOMUTO,Buenos Aires querido,Charlo,TANGO,Charlo,Enrique Cadícamo
1928-05-03,Francisco LOMUTO,Flores rojas,Charlo,TANGO, , 
1928-05-03,Francisco LOMUTO,Qué vachaché, ,TANGO,Enrique Santos Discépolo,Enrique Santos Discépolo
1928-06-05,Francisco LOMUTO,Decí pebeta por qué,Charlo,TANGO,Pedro Maffia,Tomás Simari
1928-06-05,Francisco LOMUTO,Esta noche me emborracho, ,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1928-06-05,Francisco LOMUTO,Tu disfraz, ,TANGO,Angel Danesi,José De Grandis
1928-06-16,Francisco LOMUTO,Olimpicos, ,TANGO, , 
1928-07-13,Francisco LOMUTO,Andate con la otra,Charlo,TANGO,Carlos Vicente Geroni Flores,Enrique Dizeo
1928-07-14,Francisco LOMUTO,Pero yo se,Charlo,TANGO,Azucena Maizani,Azucena Maizani
1928-08-02,Francisco LOMUTO,Marcha atras,Charlo,TANGO,Enrique Delfino,Arturo Rodríguez Bustamante
1928-08-10,Francisco LOMUTO,Dandy,Charlo,TANGO,Lucio Demare,Agustín Irusta y Roberto Fugazot
1928-08-10,Francisco LOMUTO,Pim pam pum,Charlo,TANGO,Enrique Delfino,Alberto Vacarezza
1928-08-30,Francisco LOMUTO,Chorra,Charlo,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1928-08-30,Francisco LOMUTO,De corazon,Charlo,TANGO, , 
1928-08-31,Francisco LOMUTO,Haragán, ,TANGO,Enrique Delfino,Manuel Romero y Luis Bayón Herrera
1928-08-31,Francisco LOMUTO,Volvé pronto,Charlo,TANGO, , 
1928-09-21,Francisco LOMUTO,Cuando mi barrio se duerme,Charlo,TANGO,Luis Teisseire,Juan Andrés Caruso
1928-09-21,Francisco LOMUTO,Entre sueños,Charlo,TANGO,Anselmo Aieta y Juan Polito,Francisco García Jiménez
1928-09-28,Francisco LOMUTO,Malevaje,Charlo,TANGO,Juan de Dios Filiberto,Enrique Santos Discépolo
1928-10-15,Francisco LOMUTO,Alma en pena,Charlo,TANGO,Anselmo Aieta,Francisco García Jiménez
1928-10-15,Francisco LOMUTO,Guadaña,Charlo,TANGO, , 
1928-10-15,Francisco LOMUTO,Lamento criollo, ,TANGO,Rafael Rossi,Eugenio Cárdenas
1928-10-15,Francisco LOMUTO,Te aconsejo que me olvides, ,TANGO,Pedro Maffia,Jorge Curi
1928-10-15,Francisco LOMUTO,Vieja milonga, ,TANGO,Samuel Castriota, 
1928-10-29,Francisco LOMUTO,Marioneta,Charlo,TANGO,Juan José Guichandut,Armando Tagini
1928-11-09,Francisco LOMUTO,Buena racha, ,TANGO, , 
1928-11-30,Francisco LOMUTO,Cachadora, ,TANGO,Francisco Lomuto,Francisco Lomuto
1928-11-30,Francisco LOMUTO,Cuentos viiejos, ,TANGO, , 
1928-12-01,Francisco LOMUTO,Nelly,Charlo,VALS,Héctor Bates,Luis Bates
1928-12-24,Francisco LOMUTO,Carmen,Charlo,VALS,Enrique Delfino,Mario Rada
1928-12-29,Francisco LOMUTO,Estampilla,Charlo,TANGO,Enrique Delfino,Manuel Romero
1929-01-01,Francisco LOMUTO,Quinielero,Charlo,TANGO, , 
1929-01-01,Francisco LOMUTO,Rubiecita (2),Charlo,TANGO, , 
1929-02-06,Francisco LOMUTO,Dedos mágicos, ,TANGO, , 
1929-02-06,Francisco LOMUTO,La cancion del calavera, ,TANGO, , 
1929-03-02,Francisco LOMUTO,Serpentina doble, ,TANGO, , 
1929-03-08,Francisco LOMUTO,La traición , ,TANGO,Carlos Vicente Geroni Flores y Hermido Braga,Juan Villalba
1929-03-08,Francisco LOMUTO,Mamita, ,TANGO, , 
1929-04-02,Francisco LOMUTO,Palermo,Charlo,TANGO,Enrique Delfino,Juan Villalba y Hermido Braga
1929-04-02,Francisco LOMUTO,Soy un pobre gaucho,Charlo,TANGO,Adolfo Pérez,José Fernández
1929-04-02,Francisco LOMUTO,Tango argentino, ,TANGO,Juan Maglio,Alfredo Bigeschi
1929-04-13,Francisco LOMUTO,Aquel amor, ,TANGO, , 
1929-04-13,Francisco LOMUTO,Perdonala señor, ,TANGO, , 
1929-05-06,Francisco LOMUTO,Atorrante,Charlo,TANGO,Raúl de los Hoyos,Alberto Vaccarezza
1929-05-06,Francisco LOMUTO,Patadura, ,TANGO,José López Ares,Enrique Carrera Sotelo
1929-06-14,Francisco LOMUTO,Mis horas tristes, ,TANGO, , 
1929-06-14,Francisco LOMUTO,Pura bulla, ,TANGO, , 
1929-06-14,Francisco LOMUTO,Sin chance, ,TANGO, , 
1929-06-21,Francisco LOMUTO,Sos bueno vos también, ,TANGO,Francisco Canaro,Juan Andrés Caruso
1929-06-21,Francisco LOMUTO,Soy un arlequín,Charlo,TANGO,Enrique Santos Discépolo,Enrique Santos Discépolo
1929-07-05,Francisco LOMUTO,Barrio viejo, ,TANGO,Guillermo Barbieri,Eugenio Cárdenas
1929-07-05,Francisco LOMUTO,Escuchame che globero,Charlo,TANGO, , 
1929-07-05,Francisco LOMUTO,Pinta maleva,Charlo,TANGO, , 
1929-07-19,Francisco LOMUTO,Mi pibe (La chance), ,TANGO,Enrique Delfino,Manuel Romero
1929-07-26,Francisco LOMUTO,Comadre, ,TANGO,Juan de Dios Filiberto,Celedonio Flores
1929-07-26,Francisco LOMUTO,Cruz de palo, ,TANGO,Guillermo Barbieri,Enrique Cadícamo
1929-07-26,Francisco LOMUTO,Evocación, ,TANGO,Antonio Rossi y Felix Zacarias Decillis, 
1929-08-14,Francisco LOMUTO,Deje que la acompañe,Charlo,TANGO,Augusto Gentile,Carlos Schaeffer Gallo
1929-08-16,Francisco LOMUTO,Secante,Charlo,TANGO,Roque Biafore,Luis Rubistein
1929-08-23,Francisco LOMUTO,La última ronda, ,TANGO,Julio Pollero,Francisco Lozano
1929-08-23,Francisco LOMUTO,Mosca muerta, ,TANGO, , 
1929-08-23,Francisco LOMUTO,Puro cuento,Charlo,TANGO,Alberto Alonso,Francisco Ruiz París (Francisco Ruiz Puch)
1929-09-17,Francisco LOMUTO,Callejera,Charlo,TANGO,Fausto Frontera,Enrique Cadícamo
1929-09-17,Francisco LOMUTO,Medianoche, ,TANGO,Alberto Tavarozzi,Eduardo Escaris Méndez
1929-09-24,Francisco LOMUTO,Cuando despiertes, ,TANGO, , 
1929-10-15,Francisco LOMUTO,Fuelle amigo,Charlo,TANGO, , 
1929-10-15,Francisco LOMUTO,Moneda corriente,Charlo,TANGO,Rodolfo Sciammarella,Alfredo Bertonasco
1929-10-22,Francisco LOMUTO,Puerto nuevo, ,TANGO,Teófilo Lespés,Carlos Pesce
1929-10-22,Francisco LOMUTO,Viejo amigo, ,TANGO, , 
1929-10-28,Francisco LOMUTO,Prisionero,Charlo,TANGO,Anselmo Aieta,Francisco García Jiménez
1929-11-05,Francisco LOMUTO,Dónde están, ,TANGO, , 
1929-11-05,Francisco LOMUTO,Lágrimas de mujer, ,TANGO, , 
1929-11-19,Francisco LOMUTO,Cascada de perlas, ,TANGO, , 
1929-11-19,Francisco LOMUTO,Ojos que no ven, ,TANGO, , 
1929-11-20,Francisco LOMUTO,Misa de once,Charlo,TANGO,Juan José Guichandut,Armando Tagini
1929-12-13,Francisco LOMUTO,De todo te olvidas (Cabeza de novia),Charlo,TANGO,Salvador Merico,Enrique Cadícamo
1929-12-20,Francisco LOMUTO,Confesion (2), ,TANGO, , 
1930-01-01,Francisco LOMUTO,Juventud (2), ,TANGO,Juan Baüer,Roberto Aubriot Barboza
1930-01-01,Francisco LOMUTO,Quejidos de Tango, ,TANGO, , 
1930-03-31,Francisco LOMUTO,En tres y punta, ,TANGO, , 
1930-04-05,Francisco LOMUTO,Alma de indio,Charlo,TANGO,Augusto Gentile,Pedro Numa Córdoba
1930-04-05,Francisco LOMUTO,En la tranquera (A Mar del Plata yo me quiero ir),Charlo,RANCHERA,Francisco Lomuto,Francisco Lomuto
1930-04-05,Francisco LOMUTO,Piñataro, ,TANGO,Carlos Sánchez,Arturo Rodríguez Bustamante
1930-04-15,Francisco LOMUTO,Buenos Aires, ,TANGO,Manuel Jovés,Manuel Romero
1930-04-15,Francisco LOMUTO,Como los nardos en flor, ,TANGO,Teófilo Lespés y Mario Lespés,Eduardo Viera
1930-05-16,Francisco LOMUTO,Knock-out de amor, ,TANGO,Vicente San Lorenzo,Iván Diez
1930-06-06,Francisco LOMUTO,Colorao colorao, ,TANGO,Alberto Acuña,Celedonio Flores
1930-06-18,Francisco LOMUTO,Remordimiento,Charlo,TANGO, , 
1930-07-02,Francisco LOMUTO,Bigotito,TANGO,Manuel Buzón,Gerónimo Martinelli Massa y Ismael Aguilar, 
1930-07-16,Francisco LOMUTO,Corazón de oro (2), ,TANGO, , 
1930-07-16,Francisco LOMUTO,Lejania (2),Charlo,TANGO,Francisco Lauro, 
1930-09-09,Francisco LOMUTO,Penurias, ,TANGO, , 
1930-09-16,Francisco LOMUTO,Has muerto para mi,Principe Azul,TANGO, , 
1930-09-16,Francisco LOMUTO,Nunca,Principe Azul,TANGO,Antonio Sureda,Celedonio Flores
1930-09-16,Francisco LOMUTO,Sin clemencia, ,TANGO,Lucio D'Agostino, 
1930-09-30,Francisco LOMUTO,Amor y celos, ,VALS,Miguel Padula,Alfredo Faustino Roldán
1930-10-17,Francisco LOMUTO,Cuando llora la milonga, ,TANGO,Juan de Dios Filiberto,María Luisa Carnelli
1930-12-09,Francisco LOMUTO,La pagaras, ,TANGO, , 
1930-12-13,Francisco LOMUTO,Pan, ,TANGO,Eduardo Pereyra,Celedonio Flores
1931-04-24,Francisco LOMUTO,Hay que aprender a bailar,Coro,FOXTROT,Francisco Lomuto,Andrés Seitún
1931-04-24,Francisco LOMUTO,Qué lindo es amar,Jorge Torres,TANGO,Francisco Lomuto,Francisco Lomuto
1931-05-08,Francisco LOMUTO,Musica triste, ,TANGO, , 
1931-06-26,Francisco LOMUTO,Alondra, ,TANGO, , 
1931-08-27,Francisco LOMUTO,De pura cepa (3),Anselmo Hilarion Acuña y Fernando Díaz,RANCHERA, , 
1931-08-27,Francisco LOMUTO,Nunca mas,Anselmo Hilarion Acuña y Fernando Díaz,TANGO,Francisco Lomuto,Oscar Lomuto
1931-09-03,Francisco LOMUTO,Arroz con leche,Anselmo Hilarion Acuña y Fernando Díaz,RANCHERA, , 
1931-09-03,Francisco LOMUTO,Muñequita,Anselmo Hilarion Acuña y Fernando Díaz,TANGO,Francisco Lomuto,Adolfo Herschel
1931-09-24,Francisco LOMUTO,Colo,Fernando Díaz,TANGO, , 
1931-09-24,Francisco LOMUTO,Congojas que matan,Anselmo Hilarion Acuña y Fernando Díaz,VALS, , 
1931-10-01,Francisco LOMUTO,A su memoria,Anselmo Hilarion Acuña y Fernando Díaz,VALS,Antonio Sureda,Homero Manzi
1931-10-01,Francisco LOMUTO,Sueño de poeta,Fernando Díaz,TANGO, , 
